"CATCHMENT","NETWORK","YEAR","MMWR.YEAR","MMWR.WEEK","AGE.CATEGORY","CUMULATIVE.RATE","WEEKLY.RATE"
"Entire Network","COVID-NET",2020,2020,10,"0-4 yr",0,0
"Entire Network","COVID-NET",2020,2020,11,"0-4 yr",0,0
"Entire Network","COVID-NET",2020,2020,12,"0-4 yr",0,0
"Entire Network","COVID-NET",2020,2020,13,"0-4 yr",0.4,0.4
"Entire Network","COVID-NET",2020,2020,14,"0-4 yr",0.8,0.4
"Entire Network","COVID-NET",2020,2020,15,"0-4 yr",1.1,0.3
"Entire Network","COVID-NET",2020,2020,10,"5-17 yr",0,0
"Entire Network","COVID-NET",2020,2020,11,"5-17 yr",0,0
"Entire Network","COVID-NET",2020,2020,12,"5-17 yr",0.1,0.1
"Entire Network","COVID-NET",2020,2020,13,"5-17 yr",0.2,0.1
"Entire Network","COVID-NET",2020,2020,14,"5-17 yr",0.3,0.1
"Entire Network","COVID-NET",2020,2020,15,"5-17 yr",0.3,0.1
"Entire Network","COVID-NET",2020,2020,10,"18-49 yr",0.1,0.1
"Entire Network","COVID-NET",2020,2020,11,"18-49 yr",0.4,0.3
"Entire Network","COVID-NET",2020,2020,12,"18-49 yr",1.5,1.1
"Entire Network","COVID-NET",2020,2020,13,"18-49 yr",4.4,2.9
"Entire Network","COVID-NET",2020,2020,14,"18-49 yr",7.6,3.2
"Entire Network","COVID-NET",2020,2020,15,"18-49 yr",10,2.4
"Entire Network","COVID-NET",2020,2020,10,"50-64 yr",0.1,0.1
"Entire Network","COVID-NET",2020,2020,11,"50-64 yr",1.1,1.1
"Entire Network","COVID-NET",2020,2020,12,"50-64 yr",4.6,3.5
"Entire Network","COVID-NET",2020,2020,13,"50-64 yr",13.3,8.7
"Entire Network","COVID-NET",2020,2020,14,"50-64 yr",24.9,11.6
"Entire Network","COVID-NET",2020,2020,15,"50-64 yr",32.8,7.9
"Entire Network","COVID-NET",2020,2020,10,"65+ yr",0.4,0.4
