"AGE_GROUP","COVID_CASE_RATE","HOSPITALIZED_CASE_RATE","DEATH_RATE","date"
"0-17 years",25.83,0.75,NA,"20200325"
"18-44 years",263.53,6.02,0.45,"20200325"
"45-64 years",330.05,18.29,2.77,"20200325"
"65-74 years",318.4,36.76,10.01,"20200325"
"75 and older years",298.55,53.93,25.23,"20200325"
"Citywide total",237.79,13.62,3.33,"20200325"
"0-17 years",28.66,2.66,NA,"20200326"
"18-44 years",301.07,28.19,0.47,"20200326"
"45-64 years",382.72,85.07,3.75,"20200326"
"65-74 years",375.76,135.31,13.02,"20200326"
"75 and older years",353.76,188.13,33.09,"20200326"
"Citywide total",275.18,56.2,4.35,"20200326"
"0-17 years",31.44,2.72,0,"20200327"
"18-44 years",344.75,28.82,0.59,"20200327"
"45-64 years",445.42,91.73,5.06,"20200327"
"65-74 years",433.98,147.61,15.73,"20200327"
"75 and older years",417.94,201.65,39.49,"20200327"
"Citywide total",317.87,60,5.36,"20200327"
"0-17 years",41.35,4.17,0.06,"20200330"
"18-44 years",475.65,42.97,1.6,"20200330"
"45-64 years",649.01,140.42,10.51,"20200330"
"65-74 years",643.1,230.58,30.75,"20200330"
"75 and older years",623.43,314.82,78.25,"20200330"
"Citywide total",453.48,92.17,10.88,"20200330"
"0-17 years",43.84,4.29,0.06,"20200331"
"18-44 years",514.8,45.46,1.99,"20200331"
"45-64 years",714.43,155.4,12.6,"20200331"
"65-74 years",717.33,261.19,36.47,"20200331"
"75 and older years",706.8,351.39,93.97,"20200331"
"Citywide total",497.35,101.79,13.05,"20200331"
"0-17 years",47.25,4.81,0.06,"20200401"
"18-44 years",556.94,50.78,2.31,"20200401"
"45-64 years",783.25,177.91,16.2,"20200401"
"65-74 years",798.72,302.38,47.77,"20200401"
"75 and older years",791.26,403.86,114.81,"20200401"
"Citywide total",544.21,116.39,16.36,"20200401"
"0-17 years",51.02,5.1,0.06,"20200402"
"18-44 years",602.82,53.92,2.67,"20200402"
"45-64 years",851,192.7,18.58,"20200402"
"65-74 years",871.81,328.99,53.78,"20200402"
"75 and older years",879.56,442.98,130.35,"20200402"
"Citywide total",591.84,126.09,18.6,"20200402"
"0-17 years",57.21,5.33,0.06,"20200403"
"18-44 years",665.76,58.23,3.26,"20200403"
"45-64 years",971.33,212.45,21.5,"20200403"
"65-74 years",1010.42,367.89,65.94,"20200403"
"75 and older years",1043.74,501.85,155.95,"20200403"
"Citywide total",670.21,139.77,22.23,"20200403"
"0-17 years",62.37,5.56,0.12,"20200404"
"18-44 years",710.81,61.43,3.92,"20200404"
"45-64 years",1052.7,230,26.02,"20200404"
"65-74 years",1103.68,400.93,79.67,"20200404"
"75 and older years",1158.55,551.76,187.94,"20200404"
"Citywide total",724.51,151.4,26.84,"20200404"
"0-17 years",65.72,5.85,0.12,"20200405"
"18-44 years",753.28,65.7,4.15,"20200405"
"45-64 years",1125.22,257.53,28.55,"20200405"
"65-74 years",1181.49,453.71,87.54,"20200405"
