date,cases_daily,deaths_daily,hosp_daily
2020-02-26,0,2,0
2020-02-27,0,0,0
2020-02-28,4,2,4
2020-02-29,2,1,2
2020-03-01,8,3,8
2020-03-02,8,2,4
2020-03-03,11,3,10
2020-03-04,14,2,8
2020-03-05,8,4,6
2020-03-06,13,6,10
2020-03-07,19,0,15
2020-03-08,64,5,38
2020-03-09,43,3,19
2020-03-10,36,2,16
2020-03-11,61,2,20
2020-03-12,52,4,21
2020-03-13,56,3,20
2020-03-14,86,4,21
2020-03-15,64,4,16
2020-03-16,67,6,20
2020-03-17,85,7,21
2020-03-18,95,4,23
2020-03-19,87,5,23
2020-03-20,127,7,23
2020-03-21,143,4,34
2020-03-22,90,14,20
2020-03-23,125,9,21
2020-03-24,145,9,40
2020-03-25,190,9,40
2020-03-26,202,15,37
2020-03-27,207,9,45
2020-03-28,209,14,55
2020-03-29,177,8,38
2020-03-30,179,4,52
2020-03-31,169,5,34
2020-04-01,220,12,43
2020-04-02,188,11,37
2020-04-03,191,13,43
2020-04-04,180,12,26
2020-04-05,149,15,18
2020-04-06,123,13,33
2020-04-07,113,15,27
2020-04-08,169,10,25
2020-04-09,163,7,22
2020-04-10,151,12,40
2020-04-11,112,11,17
2020-04-12,105,5,21
2020-04-13,90,8,19
2020-04-14,95,5,18
2020-04-15,126,5,18
2020-04-16,164,12,20
2020-04-17,117,7,17
2020-04-18,114,11,15
2020-04-19,83,13,14
2020-04-20,84,6,18
2020-04-21,94,13,16
2020-04-22,111,5,14
2020-04-23,92,5,16
2020-04-24,90,8,14
2020-04-25,94,10,7
2020-04-26,93,9,10
2020-04-27,55,6,10
2020-04-28,102,5,11
2020-04-29,98,6,10
2020-04-30,86,4,6
2020-05-01,95,7,5
2020-05-02,82,4,5
2020-05-03,88,4,7
2020-05-04,58,7,5
2020-05-05,76,5,6
2020-05-06,114,5,6
2020-05-07,69,5,8
2020-05-08,80,6,7
2020-05-09,78,4,8
2020-05-10,57,10,10
2020-05-11,55,2,4
2020-05-12,42,3,8
2020-05-13,72,1,7
2020-05-14,79,3,9
2020-05-15,83,1,4
2020-05-16,46,4,3
2020-05-17,35,4,2
2020-05-18,42,1,4
2020-05-19,44,4,2
2020-05-20,22,3,7
2020-05-21,79,3,7
2020-05-22,71,1,4
2020-05-23,41,4,3
2020-05-24,20,3,5
2020-05-25,16,3,3
2020-05-26,35,1,2
2020-05-27,62,5,1
2020-05-28,36,1,2
2020-05-29,41,2,3
2020-05-30,83,1,4
2020-05-31,27,2,1
2020-06-01,30,2,4
2020-06-02,39,2,1
2020-06-03,47,1,4
2020-06-04,60,1,4
2020-06-05,63,0,6
2020-06-06,23,1,2
2020-06-07,33,2,2
2020-06-08,23,1,1
2020-06-09,28,1,1
2020-06-10,40,0,4
2020-06-11,55,4,3
2020-06-12,39,2,0
2020-06-13,39,1,0
2020-06-14,49,1,2
2020-06-15,51,0,1
2020-06-16,44,1,1
2020-06-17,74,0,2
2020-06-18,84,1,3
2020-06-19,64,0,2
2020-06-20,60,0,2
2020-06-21,69,0,3
2020-06-22,45,0,2
2020-06-23,104,1,2
2020-06-24,94,0,4
2020-06-25,88,0,3
2020-06-26,157,0,2
2020-06-27,93,0,1
2020-06-28,108,0,0
2020-06-29,65,0,0
