date,tests1,tests2,tests3,tests4,tests,pos1,pos2,pos3,pos4,daily.pos,cases,sym_pos1,sym_pos2,sym_pos3,sym_pos4,sym_cases,hosps1,hosps2,hosps3,hosps4,Hospitalizations,hosp_deaths1,hosp_deaths2,hosp_deaths3,hosp_deaths4,hosp_deaths,deaths1,deaths2,deaths3,deaths4,deaths
2020-02-26,0,0,1,1,2,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2
2020-02-27,0,1,2,1,4,0,1,2,0,3,4,0,1,2,0,4,0,1,1,1,3,0,0,0,0,1,0,0,0,0,2
2020-02-28,1,1,1,7,10,1,1,1,6,9,13,1,1,1,6,13,0,0,2,1,3,0,0,0,0,1,0,0,1,1,4
2020-02-29,1,8,8,8,25,1,3,5,7,16,29,1,3,5,7,29,0,0,0,2,2,0,0,0,0,1,0,0,0,1,5
2020-03-01,3,19,16,4,42,0,5,7,0,12,41,0,5,7,0,41,0,0,2,0,2,0,0,0,0,1,0,0,0,3,8
2020-03-02,22,31,21,22,96,0,6,4,8,18,59,0,6,4,8,59,0,1,0,2,3,0,0,0,0,1,0,0,0,2,10
2020-03-03,24,50,26,20,120,0,4,6,5,15,74,0,4,6,5,74,0,0,2,4,6,0,0,0,0,1,0,0,0,3,13
2020-03-04,16,63,37,30,146,0,8,6,11,25,99,0,8,5,10,97,0,1,2,6,9,0,0,0,1,2,0,0,0,2,15
2020-03-05,29,68,59,45,201,0,5,13,21,39,138,0,5,9,17,128,0,0,4,11,15,0,0,0,1,3,0,0,1,3,19
2020-03-06,28,68,64,44,204,0,6,5,14,25,163,0,6,4,13,151,0,1,1,8,10,0,0,0,0,3,0,0,0,6,25
2020-03-07,29,46,48,42,165,0,2,5,14,21,184,0,1,2,12,166,0,0,2,5,7,0,0,0,0,3,0,0,0,0,25
2020-03-08,28,79,49,56,212,1,10,5,27,43,227,0,7,4,12,189,0,1,3,9,13,0,0,0,2,5,0,0,1,4,30
2020-03-09,45,165,128,66,404,0,11,12,13,36,263,0,8,9,12,218,0,0,4,9,13,0,0,0,2,7,0,0,1,2,33
2020-03-10,81,313,168,156,718,2,21,13,35,71,334,2,15,10,20,265,1,1,1,15,18,0,0,0,2,9,0,0,0,2,35
2020-03-11,96,372,200,109,777,0,22,17,23,62,396,0,13,9,20,307,0,2,5,9,16,0,0,0,1,10,0,0,0,2,37
2020-03-12,129,591,312,131,1163,1,35,36,27,99,495,1,19,18,19,364,0,4,6,13,23,0,0,0,3,13,0,0,0,4,41
2020-03-13,137,640,384,163,1324,7,45,33,36,121,616,6,21,20,19,430,0,4,1,10,15,0,0,0,2,15,0,0,0,3,44
2020-03-14,92,380,193,83,748,1,30,25,19,75,691,0,18,20,15,483,0,2,9,4,15,0,0,1,2,18,0,0,1,3,48
2020-03-15,71,208,96,57,432,1,21,11,13,46,737,1,14,9,9,516,0,1,5,6,12,0,0,0,2,20,0,0,0,4,52
2020-03-16,123,751,439,157,1470,3,58,43,33,137,874,2,46,38,28,630,0,4,5,14,23,0,0,1,3,24,0,0,2,4,58
2020-03-17,90,713,358,136,1297,0,51,40,33,124,998,0,39,37,28,734,0,2,7,8,17,0,0,0,5,29,0,0,0,7,65
2020-03-18,88,771,426,153,1438,2,68,51,28,149,1147,2,51,42,23,852,0,2,4,8,14,0,0,1,3,33,0,0,1,3,69
2020-03-19,75,788,383,122,1368,1,70,54,34,159,1306,1,51,45,19,968,0,3,3,18,24,0,0,1,4,38,0,0,1,4,74
2020-03-20,55,657,374,112,1198,0,57,37,26,120,1426,0,50,24,20,1062,0,5,7,10,22,0,0,0,6,44,0,0,1,6,81
2020-03-21,32,307,188,94,621,1,31,32,17,81,1507,1,28,26,16,1133,0,3,8,12,23,0,0,1,0,45,0,0,1,3,85
2020-03-22,27,225,117,56,425,0,38,26,15,79,1586,0,30,19,11,1193,0,2,9,9,20,0,0,4,2,51,0,0,5,9,99
2020-03-23,77,792,462,147,1478,4,84,76,39,203,1789,3,71,61,32,1360,0,5,16,21,42,0,0,2,5,58,0,0,2,7,108
2020-03-24,72,819,449,135,1475,0,80,71,26,177,1966,0,66,61,22,1509,0,5,9,11,25,0,0,1,4,63,0,0,2,7,117
2020-03-25,54,813,420,131,1418,3,91,54,32,180,2146,2,69,46,25,1651,1,5,13,13,32,0,0,1,7,71,0,0,1,8,126
2020-03-26,93,689,369,126,1277,3,85,53,32,173,2319,3,65,43,25,1787,0,3,13,10,26,0,0,1,10,82,0,0,1,14,141
2020-03-27,66,730,453,148,1397,2,89,72,49,212,2531,1,67,55,36,1946,0,9,14,11,34,0,0,1,5,88,0,0,2,7,150
2020-03-28,46,397,247,62,752,1,46,36,13,96,2627,1,40,33,11,2031,1,10,17,14,42,0,0,3,5,96,0,0,4,10,164
2020-03-29,38,294,145,86,563,7,41,42,35,125,2752,7,35,30,25,2128,0,8,11,20,39,0,0,0,5,101,0,0,0,8,172
2020-03-30,83,843,495,175,1596,6,108,85,35,234,2986,2,88,67,32,2317,0,3,14,19,36,0,0,0,2,103,0,0,0,4,176
2020-03-31,65,728,462,166,1421,3,90,78,31,202,3188,1,73,54,27,2472,1,9,15,15,40,0,0,1,2,106,0,0,3,2,181
2020-04-01,75,763,464,149,1451,8,80,66,25,179,3367,4,64,49,21,2610,0,8,19,10,37,0,2,0,7,115,0,2,0,10,193
2020-04-02,73,774,371,153,1371,10,82,58,29,179,3546,5,66,45,24,2750,0,11,12,16,39,0,1,0,8,124,0,1,0,10,204
2020-04-03,75,763,424,153,1415,9,92,59,44,204,3750,6,79,52,36,2923,1,12,15,18,46,0,2,0,7,133,0,2,0,11,217
2020-04-04,35,459,233,80,807,4,38,34,19,95,3845,3,26,27,17,2996,0,4,12,9,25,0,0,3,3,139,0,0,4,8,229
2020-04-05,27,292,170,70,559,1,31,23,19,74,3919,1,27,21,12,3057,1,6,9,17,33,0,0,2,7,148,0,1,2,13,245
2020-04-06,61,785,378,124,1348,4,89,52,19,164,4083,2,75,45,17,3196,0,3,7,13,23,0,0,2,4,154,0,0,2,11,258
2020-04-07,63,819,475,186,1543,3,84,61,44,192,4275,1,66,43,28,3334,0,4,14,10,28,0,0,1,8,163,0,0,1,14,273
2020-04-08,77,723,416,150,1366,6,57,59,21,143,4418,5,42,39,15,3435,0,9,7,6,22,0,0,0,7,170,0,1,0,9,283
2020-04-09,58,668,385,151,1262,4,69,49,38,160,4578,3,46,36,24,3544,0,8,11,12,31,0,0,1,3,174,0,0,1,6,290
2020-04-10,74,662,363,129,1228,7,61,47,19,134,4712,4,48,34,13,3643,0,3,15,9,27,0,0,2,4,180,0,1,2,9,302
2020-04-11,41,367,213,76,697,2,25,29,16,72,4784,2,18,19,11,3693,0,6,10,11,27,0,0,2,5,187,0,0,3,8,313
2020-04-12,21,262,130,47,460,2,14,12,8,36,4820,1,9,10,7,3720,0,5,7,5,17,0,0,1,4,192,0,0,1,4,318
2020-04-13,79,701,366,159,1305,8,78,48,13,147,4967,5,55,37,11,3828,0,4,6,5,15,0,0,0,5,197,0,0,0,8,326
2020-04-14,67,647,387,158,1259,5,58,44,21,128,5095,1,44,36,13,3922,2,5,6,5,18,0,0,1,2,200,0,0,2,3,331
2020-04-15,71,673,400,158,1302,7,58,51,21,137,5232,3,45,36,10,4016,0,5,10,5,20,0,2,0,2,204,0,2,0,3,336
2020-04-16,63,695,347,203,1308,9,62,30,27,128,5360,7,50,26,18,4117,0,8,6,10,24,0,0,0,9,213,0,0,1,11,348
2020-04-17,78,669,430,159,1336,10,72,47,17,146,5506,7,52,32,12,4220,0,7,7,7,21,0,1,3,2,219,0,1,3,3,355
2020-04-18,49,393,225,116,783,1,24,17,15,57,5563,0,20,13,8,4261,0,2,9,9,20,0,0,1,7,227,0,0,1,10,366
2020-04-19,51,308,190,126,675,0,17,18,6,41,5604,0,15,17,5,4298,0,4,8,8,20,0,0,2,4,233,0,0,4,8,378
2020-04-20,78,695,420,186,1379,5,67,38,14,124,5728,3,55,29,10,4395,0,1,7,10,18,0,0,0,4,237,0,0,0,6,384
2020-04-21,111,604,367,157,1239,7,51,38,12,108,5836,6,41,29,12,4483,0,9,8,4,21,0,0,3,5,245,0,0,4,10,398
2020-04-22,95,679,394,206,1374,8,54,29,24,115,5951,6,41,21,20,4571,0,5,5,12,22,0,0,1,2,248,0,1,2,2,403
2020-04-23,83,683,413,138,1317,4,56,34,8,102,6053,4,47,24,7,4653,0,6,3,5,14,0,0,1,1,250,0,0,1,4,408
2020-04-24,64,657,403,197,1321,4,42,31,17,94,6147,3,36,21,8,4721,0,1,6,5,12,0,0,2,4,256,0,0,3,5,416
2020-04-25,75,545,311,197,1128,1,33,17,17,68,6215,1,28,12,10,4772,0,4,7,6,17,0,0,2,5,263,0,0,3,7,426
2020-04-26,48,312,180,69,609,1,21,18,5,45,6260,1,14,12,4,4803,0,4,6,3,13,0,0,1,6,270,0,0,1,8,435
2020-04-27,93,657,398,192,1340,7,63,45,8,123,6383,4,49,33,7,4896,0,0,4,2,6,0,1,0,3,274,0,1,0,5,441
2020-04-28,90,783,453,291,1617,4,57,27,8,96,6479,2,43,16,6,4963,0,6,2,7,15,0,0,3,1,278,0,0,3,2,446
2020-04-29,67,812,464,230,1573,8,56,35,19,118,6597,7,47,26,12,5055,0,3,5,5,13,0,0,2,1,281,0,0,3,3,452
2020-04-30,68,728,373,167,1336,9,46,18,10,83,6680,5,31,14,7,5112,0,2,2,2,6,0,0,0,3,284,0,0,0,4,456
2020-05-01,99,702,403,187,1391,9,64,36,25,134,6814,6,47,22,11,5198,0,3,4,3,10,0,0,0,6,290,0,0,1,6,463
2020-05-02,78,427,238,108,851,2,25,10,8,45,6859,2,23,6,6,5235,0,3,7,5,15,0,0,0,0,290,0,0,1,3,467
2020-05-03,46,285,127,63,521,1,18,5,2,26,6885,1,12,3,2,5253,0,3,2,1,6,0,0,1,3,294,0,0,1,3,471
2020-05-04,92,865,486,257,1700,10,68,26,9,113,6998,6,57,18,4,5338,0,4,3,5,12,0,0,3,1,298,0,1,5,1,478
2020-05-05,82,760,440,259,1541,3,46,19,11,79,7077,2,36,13,2,5391,0,5,1,4,10,0,0,3,1,302,0,0,3,1,482
2020-05-06,99,766,364,182,1411,12,53,15,15,95,7172,10,42,13,11,5467,0,3,3,5,11,0,0,1,2,305,0,0,1,4,487
2020-05-07,76,602,342,185,1205,4,43,22,9,78,7250,4,34,13,6,5524,0,1,3,4,8,0,0,2,2,309,0,0,2,3,492
2020-05-08,89,699,369,267,1424,13,37,14,8,72,7322,8,26,13,2,5573,0,3,3,2,8,0,0,0,6,315,0,0,0,6,498
2020-05-09,38,318,219,125,700,5,26,13,5,49,7371,4,20,11,5,5613,0,3,3,2,8,0,0,0,3,318,0,0,0,4,502
