"date","county","state","fips","cases","deaths"
2020-02-28,"King","Washington",53033,1,0
2020-02-29,"King","Washington",53033,4,1
2020-03-01,"King","Washington",53033,11,3
2020-03-02,"King","Washington",53033,15,6
2020-03-03,"King","Washington",53033,22,10
2020-03-04,"King","Washington",53033,33,11
2020-03-05,"King","Washington",53033,52,11
2020-03-06,"King","Washington",53033,59,12
2020-03-07,"King","Washington",53033,72,16
2020-03-08,"King","Washington",53033,91,18
2020-03-09,"King","Washington",53033,117,21
2020-03-10,"King","Washington",53033,191,23
2020-03-11,"King","Washington",53033,235,27
2020-03-12,"King","Washington",53033,271,28
2020-03-13,"King","Washington",53033,329,33
2020-03-14,"King","Washington",53033,389,36
2020-03-15,"King","Washington",53033,421,38
2020-03-16,"King","Washington",53033,489,44
2020-03-17,"King","Washington",53033,518,47
2020-03-18,"King","Washington",53033,563,57
2020-03-19,"King","Washington",53033,693,61
2020-03-20,"King","Washington",53033,794,68
2020-03-21,"King","Washington",53033,935,76
2020-03-22,"King","Washington",53033,1036,77
2020-03-23,"King","Washington",53033,1166,88
2020-03-24,"King","Washington",53033,1278,95
2020-03-25,"King","Washington",53033,1360,101
2020-03-26,"King","Washington",53033,1579,111
2020-03-27,"King","Washington",53033,1830,127
2020-03-28,"King","Washington",53033,2079,138
2020-03-29,"King","Washington",53033,2163,146
2020-03-30,"King","Washington",53033,2332,152
2020-03-31,"King","Washington",53033,2332,152
2020-04-01,"King","Washington",53033,2498,166
2020-04-02,"King","Washington",53033,2658,177
2020-04-03,"King","Washington",53033,2789,188
2020-04-04,"King","Washington",53033,2900,204
2020-04-05,"King","Washington",53033,3169,210
2020-04-06,"King","Washington",53033,3333,224
2020-04-07,"King","Washington",53033,3488,232
2020-04-08,"King","Washington",53033,3690,246
2020-04-09,"King","Washington",53033,3888,260
2020-04-10,"King","Washington",53033,4119,279
2020-04-11,"King","Washington",53033,4264,286
2020-04-12,"King","Washington",53033,4428,294
2020-04-13,"King","Washington",53033,4551,298
2020-04-14,"King","Washington",53033,4622,305
2020-04-15,"King","Washington",53033,4699,314
2020-04-16,"King","Washington",53033,4811,322
2020-04-17,"King","Washington",53033,4904,333
2020-04-18,"King","Washington",53033,5065,342
2020-04-19,"King","Washington",53033,5174,348
2020-04-20,"King","Washington",53033,5295,362
2020-04-21,"King","Washington",53033,5381,374
2020-04-22,"King","Washington",53033,5451,381
2020-04-23,"King","Washington",53033,5571,386
2020-04-24,"King","Washington",53033,5691,393
2020-04-25,"King","Washington",53033,5813,401
2020-04-26,"King","Washington",53033,5914,410
2020-04-27,"King","Washington",53033,5992,418
2020-04-28,"King","Washington",53033,6056,429
2020-04-29,"King","Washington",53033,6184,438
2020-04-30,"King","Washington",53033,6310,448
2020-05-01,"King","Washington",53033,6409,451
2020-05-02,"King","Washington",53033,6507,456
2020-05-03,"King","Washington",53033,6620,461
2020-05-04,"King","Washington",53033,6584,465
2020-05-05,"King","Washington",53033,6655,471
2020-05-06,"King","Washington",53033,6772,476
2020-05-07,"King","Washington",53033,7182,482
2020-05-08,"King","Washington",53033,7182,487
2020-05-09,"King","Washington",53033,7319,492
2020-05-10,"King","Washington",53033,7365,502
